,name,thematic_area_id,thematic_area,requirements,work_methods,requirements_1,requirements_2,requirements_3,requirements_4
823,Operarios de Producción - bello,13,product,servicios,in_house,experiencia,trabajo,empresa,estrategia
825,¿Como te ves a los 50 años?,18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
826,Practicante de comunicación,7,communications,recursos humanos,in_house,trabajo en equipo,trabajo,recursos,experiencia
828,¿Como crear un aplicativo de escritorio para publicar y reservar hospedajes para una empresa?,6,tech,trabajo en equipo,to_be_agreed,java,python,programacion,diseño
830,Coordinadora Gestión Humana - sector restaurantes,13,product,trabajo,in_house,presencial,experiencia,talento humano,cadena
831,¿Que estrategia de negocio usan para llegar a ser la marca numero uno de motos en Colombia?,4,strategy,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
835,Analista de nomina,16,finance,cadena,in_house,experiencia,analista,trabajo,cadena de suministro
836,Associate Consultant - Forensic Investigations,5,legal,individual,in_house,design,data,teams,servicios
837,¿Cómo podríamos aplicar modelos de analítica para la toma decisiones?,4,strategy,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
838,¿Cómo podríamos mejorar la comunicación con nuestros clientes para tener un servicio más efectivo/cercano?,7,communications,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
839,¿Cómo podríamos crear una estrategia para crear nuevos productos o procesos utilizando recursos que no sean de la organización?,4,strategy,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
844,GERENTE SR DE PRODUCCION,13,product,profesional,in_house,presupuestos,procesos,proyectos,calidad
845,"Analista de Gestión humana - Procesos de contratación, nómina, seguridad social",9,talent,planes,in_house,normatividad,informes,social,trabajo
846,Auxiliar administrativo,17,consumer,auxiliar administrativo,in_house,experiencia,manejo,auxiliar,empresa
848,"Aprendiz Técnico- Gerencia Comercial Regional, Inclusión Caribe",8,design,ciencias sociales,in_house,financiero,aprendizaje,servicio,ciencias
849,¿Cómo podríamos rediseñar nuestros servicios/productos para que puedan ser usados fácilmente por personas con discapacidad?,8,design,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
850,"Aprendiz Universitario en Administración de Empresas, Comunicación Social, Mercadeo (35322)",8,design,aprendizaje,in_house,bases,desarrollo,herramientas,experiencia
851,Analista en gestión humana,9,talent,recursos,in_house,procesos,experiencia,indicadores,agile-scrum
852,Gerente Territorial de Ventas [Bogotá],8,design,planes,in_house,ventas,procesos,reclutamiento,experiencia
853,Analista de Recursos humanos,9,talent,empresarial,in_house,experiencia,recursos humanos,procesos,recursos
856,Financial Project Analyst Intern,16,finance,project,"[""a""]",world,classroom,social,work
858,¿Cómo podríamos acortar los tiempos de espera para acceder a los servicios de la organización?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
859,Como hago para que los constructores medianos y pequeños me compren cemento y me perciban como un aliado confiable y no como un mero vendedor?,12,incomes,lider,to_be_agreed,estrategia,diseño,telecomunicaciones,entrenamiento
860,Analista funcional 1,6,tech,manejo,virtual,proyecto,bienestar,servicio,planes
861,Desarrollador Full Stack,6,tech,net core,to_be_agreed,postgresql,angular,full stack,ninguna
862,"operarios de produccion convocatoria miercoles 9 de noviembre - Vivir en chía, Zipaquira o zonas aledañas",13,product,recursos,"[""a""]",empresa,servicio,produccion,experiencia
864,Asesor de servicio al cliente (canal chat y redes sociales) - Se ofrece posibilidad de trabajo en casa.,17,consumer,caja,in_house,transporte,trabajo,telecomunicaciones,servicio al cliente
866,Coordinador Comercial,19,sales,base de datos,in_house,industrial,redes,experiencia,datos
868,Cajero Bancario - Bogotá,16,finance,servicio,"[""a""]",manejo,experiencia,financiera,comercio
869,Contralor de proyectos - Barranquilla,13,product,servicio,in_house,empresa,normatividad,costos,proyectos
870,Auxiliar de bodega - Bucaramanga Contratación Inmediata,5,legal,experiencia,in_house,transporte,perfil de cliente,transporte,idiomas
872,Cajero bancario,16,finance,procesos,in_house,experiencia,manejo,trabajo,caja
873,Analista de tesorería - Manejo de excel,16,finance,equipo,in_house,cadena,excel,financiera,caja
875,Recepcionista - Disponibilidad Inmediata,5,legal,empresa,in_house,excel,habilidades,transporte,manejo
876,Recepcionista,17,consumer,servicio,"[""a""]",experiencia,transporte,recepcionista,bienestar
877,¿Cómo podríamos atraer nuevos talentos con ideas frescas que le den valor a nuestra organización?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
879,Polifuncional de Tienda y Asesor de Clientes,17,consumer,servicio,in_house,caja,servicio al cliente,operaciones,talento
880,Work From Home Client Marketing Manager / Ref. 1019E,11,market,software,in_house,teams,marketing,design,work
881,Mesero/a para parque ecológico en Medellín,17,consumer,servicio,"[""a""]",recursos humanos,transporte,manejo,experiencia
883,Ejecutivo de Cuenta - 8221292,11,market,empresa,in_house,comercial,salud,servicio,conocimiento
884,HOST JUNIOR,13,product,alimentos,in_house,desarrollo,servicios,experiencia,postgresql
886,Analista contable/ Servicio al cliente/ Medellín,17,consumer,experiencia,virtual,recursos humanos,manejo,empresa,equipo
888,Entrenador Personalizado Bodytech - Cartagena,8,design,diseño,in_house,comercial,experiencia,entrenamiento,servicios
889,Residente SST,5,legal,recursos humanos,in_house,trabajo,recursos,experiencia,bienestar
890,Auxiliar de recursos humanos - para la ciudad de Cali,9,talent,equipo,in_house,profesional,desarrollar,experiencia,aprender
892,Asesor de diseño - urgente,8,design,servicios,virtual,trabajo,experiencia,diseño,empresa
893,Stefania Calderon - Gerente de Unidad en Formación - Bucaramanga,13,product,reclutamiento,in_house,cadena,profesional,cadena de suministro,liderazgo
894,Como implementar GCP en el área logística,6,tech,googlecloudplatform,to_be_agreed,talento,talento humano,auxiliar administrativo,mercado
895,Full Stack Sr,6,tech,cultura,"[""a""]",aprendizaje,desarrollo de software,conocimiento,proyecto
896,¿Cómo podríamos lograr una transformación cultural positiva desde la tecnología en nuestra organización?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
898,Auxiliar de contratación,17,consumer,procesos,"[""a""]",social,administrativo,recursos,seguridad social
899,¿Cómo podríamos vincular las áreas de organización a la necesidad especifica del usuario para  entender sus pain points (dolores) y así mejorar su experiencia?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
900,¿Como podríamos reducir el consumo energético en los procesos que requieran calor en las plantas de producción  Team foods?,2,production,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
901,"Profesional Socio Empresarial – Cúcuta, Norte de Santander",16,finance,plataformas,in_house,mercadeo,informes,procesos,servicios
902,Gestor de Prácticas Académicas,7,communications,compromiso,virtual,mejora,agilidad,calidad,habilidades
903,¿Cómo podríamos mostrarle a nuestros clientes todos los productos de una forma dinámica e interactiva?,14,channels,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
904,Analista Tesorería,16,finance,experiencia,"[""a""]",equipo,analista,auxiliar administrativo,talento
905,ANALISTA DE COMUNICACIONES,7,communications,informes,virtual,social,experiencia,calidad,mercadeo
907,GERENTE COMERCIAL JUNIOR ( BELLEZA Y CUIDADO PERSONAL) RETAIL,13,product,publicidad,in_house,servicio,trabajar en equipo,relaciones,calidad
911,Desarrolladores JAVA 2023,6,tech,decisiones,in_house,bienestar,servicios,manejo,bases
912,"Tecnicos, Tecnologos o estudiantes de carreras administrativas y/o financieras para trabajar en entidad financiera - Bogotá",16,finance,financiera,virtual,caja,servicios,experiencia,servicio
913,Auxiliar de salud oral - Tuluá Valle del Cauca,13,product,idiomas,in_house,servicios,trabajo,aprendizaje,experiencia
915,Asistente Administrativo y Contable,6,tech,experiencia,virtual,aprendizaje,trabajo,negocios,afiliaciones
916,Asistente de gestión humana,9,talent,recursos humanos,in_house,equipo,alimentos,empresa,experiencia
917,Copy of Recepcionista Bilingue,17,consumer,manejo,"[""a""]",servicio,experiencia, css,ninguna
918,ANALISTA DE CONOCIMIENTO DE CLIENTE,13,product,responsabilidad,virtual,coordinar,control,toma de decisiones,empresa
919,ABOGADO JUNIOR - BOGOTÁ - 2179962,5,legal,procesos,in_house,negocios,aprendizaje,financiera,equipo
920,Entrenador personalizado,8,design,diseño,virtual,equipo,trabajo,excel,reclutamiento
921,¿Cómo podríamos optimizar el proceso de inventario con el uso de herramientas tecnológicas?,18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
922,Analista de Seguridad de la Información,5,legal,cultura,in_house,seguridad,recursos,reclutamiento,servicios
924,"¿Cómo podríamos aplicar el concepto ""gamificación"" para mejorar y hacer más entretenida la experiencia de los usuarios?",17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
925,Promotora/vendedora deparrtamental,7,communications,experiencia,"[""a""]",compromiso,marketing,talento,ninguna
926,¿Cómo podríamos crear un modelo de desarrollo de proveedores de la organización?,14,channels,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
928,PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,6,tech,universidad,in_house,telecomunicaciones,infraestructura,sistemas,ninguna
929,Especialista de Suscripcion Lineas Financieras,16,finance,derecho,in_house,equipo,estrategia,indicadores,comercial
930,Analista De calidad - Tecnólogo Químico,6,tech,control de calidad,"[""a""]",trabajo,empresa,servicios,manejo
931,Técnico/ tecnólogo en Soporte de TI – Disponibilidad para viajar a nivel Nacional,6,tech,servicio,"[""a""]",trabajo,soporte,proyecto,equipo
933,¿Cómo podríamos cautivar a nuevos consumidores con los servicios ofrecidos actualmente?,11,market,lider,to_be_agreed,estrategia,diseño,telecomunicaciones,entrenamiento
934,operarias auxiliares de panaderia y pasteleria / mujeres  -Norte de la cuidad,13,product,colaborativo,in_house,empresa,seguridad,desarrollo,calidad
935,Asistente Comercial,6,tech,software,virtual,persona,capacidad,computadores,herramientas
937,Analista Servicios GTI Conectividad,7,communications,redes,in_house,experiencia,sistemas,servicio,azure
939,Operador Medios Tecnológicos Aeropuerto de Medellín 1/2 tiempo,17,consumer,servicio,in_house,experiencia,habilidades,manejo,persona
940,Comprador,13,product,conocimiento,in_house,estrategia,ventas,desarrollo,liderazgo
942,Entrenador Personalizado Bodytech - Cúcuta,8,design,ventas,in_house,servicios,trabajo,experiencia,entrenamiento
943,"¿Cómo romper los esquemas de la educación superior, permitiendo que las nuevas juventudes sientan que están desarrollando sus propios sueños?",10,education,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
944,Auxiliar de recursos humanos,9,talent,equipo,in_house,procesos,recursos humanos,conocimiento,trabajo
945,Diseñador grafico sector  Industrial,8,design,profesional,"[""a""]",diseño,empresa,desarrollo,experiencia
946,Supervisor comercial Cadenas Retail Medellín conocimiento Excel avanzado,19,sales,empresa,in_house,estrategias,transporte,equipo,comercial
947,"¿Cómo podríamos remplazar / optimizar la fuerza de ventas tradicional (visitadora, impulsadora) con una herramienta digital?",14,channels,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
948,¿Cómo podríamos implementar nuevos métodos para la tecnificación de los procesos productivos en la organización?,2,production,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
949,Comprador Oculto/ Bogotá,5,legal,empresa,in_house,equipo,compras,trabajo,transporte
950,Supervisor logístico,5,legal,herramientas,in_house,cinco,persona,indicadores,manejo
951,Atención al cliente cafetería,17,consumer,experiencia,"[""a""]",servicios,relaciones,programación,comercio
954,Operarios de producción - Fontibón HB,13,product,recursos,in_house,experiencia,recursos humanos,empresa,jenkins
955,Asesor integral - entidades financieras y/o Cooperativas.,16,finance,comercial,in_house,servicio,financiero,servicio al cliente,empresa
956,Lider Comercial - Cali,19,sales,experiencia,in_house,no,servicios,tecnico,empresa
959,Auxiliar Administrativo para Operaciones,17,consumer,transporte,in_house,administrativo,seguridad,experiencia,auxiliar
960,¿Cómo podríamos informar al cliente de las mejoras realizadas en canales electrónicos gracias a sus sugerencias?,7,communications,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
961,Profesional en entrenamiento – Ingeniero de servicio para la ciudad de Bogotá,6,tech,eventos,virtual,servicios,conocimiento,servicio,soporte
962,Marketing Coordinator,7,communications,bases,in_house,bases de datos,datos,capacidad,procesos
963,Practicante Comunicaciones y Digital,8,design,mercadeo,in_house,reclutamiento,experiencia,social,empresa
965,"¿Cómo podríamos mejorar la experiencia de nuestros usuarios de forma entretenida, en los momentos críticos de pago de productos?",19,sales,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
966,Desarrollo de software,6,tech,desarrollo.net,to_be_agreed,soap,rest,sql server,agile-scrum
967,"Profesional de Proyectos, coordinación",6,tech,auditoría documental,mixed,visitas de inspecció,responsable,.,jenkins
968,Asistente de Tesorería y Cartera- Cali,16,finance,persona,in_house,servicios,comercio,experiencia,contabilidad
970,Asistente de gestión humana,9,talent,empresa,in_house,recursos,office,experiencia,procesos
972,ASESOR COMERCIAL CHOACHI,19,sales,seguros,in_house,equipo,servicios,negocios,experiencia
973,Convocatoria Practicantes de Técnica Y Tecnología,6,tech,no,in_house,profesional,aprendizaje,desarrollo,equipo
974,¿Cómo podríamos diseñar un sistema de mentores internos para la organización?,10,education,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
975,"operarios de produccion convocatoria miercoles 25 de enero 2023 - Vivir en chía, Zipaquira o zonas aledañas",13,product,recursos,"[""a""]",empresa,servicio,produccion,experiencia
977,¿Cómo podríamos implementar modelos de Robotic Process Automatic (RPA) en los procesos de nuestra organización para las tareas manuales u operativas?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
978,Software Developer Senior,6,tech,capacidad,in_house,proyecto,servicios,calidad,trabajo
980,AGENTE TÉCNICO CRIMINALISTICA 5549,5,legal,no,in_house,recursos,reclutamiento,herramientas,bienestar
984,Analista de Marketing - Ingles B1 -B2,7,communications,comercial,in_house,empresa,equipo,industrial,trabajo
985,Quality Coordinator Onsite,13,product,experiencia,"[""a""]",control,mejora,trabajo,normatividad
986,"¿Cómo crear un modelo masivo de inclusión laboral para las áreas con más demanda en el mercado, basado en las habilidades que desarrollan personas con discapacidad?",10,education,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
991,Asesor comercial de Microcrédito- Pamplona,16,finance,financiera,in_house,comercial,profesional,bienestar,ventas
992,Gerente de Oficina Microfinanzas - Riosucio,16,finance,no,in_house,financiera,azure architect,relaciones,experiencia de usuario
993,Talento humabi,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
994,asistente de recursos humanos en planta - cali,9,talent,empresa,"[""a""]",excel,profesional,manejo,experiencia
995,"Ejecutivo Comercial Pyme / Experiencia en ventas en campo, B2B y venta consultiva",19,sales,presencial,in_house,ventas,equipo,servicios,trabajo
997,Practicante universitario de Diseño Gráfico o Publicidad - Bogotá,8,design,profesional,in_house,aprendizaje,universidad,ideal,herramientas
998,Director de Operaciones,7,communications,sistemas,"[""a""]",riesgos,liderazgo,recursos humanos,trabajo
